Codigo;CodigoOrigen;Concepto;Categoria;Proveedor;Producto;StockActual;STOCK ANAYA 2710;Ubicaci�n Anaya;STOCK CROCKER;Ubicaci�n Crocker;STOCK JUANICO;Ubicaci�n Juanico;OBSERV.; EN VIAJE;StockSeguridad;Stock M�ximo;Diferencia;"Bajo de stock ""BAJO"""; PRECIO FOB ;DTO; FOB FILSA ; PRECIO FOB FAC ;% COSTO ESTIMADO; COSTO ESTIMADO ; COSTO REAL$ ; COSTO REAL USD ; COEF. ; PRECIO DE LISTA USD ;NCM - NOMENCLATURA
1;INST00001;;MO;FILSA (MO);INSTALACION CON MATERIALES;0;;0;;;;;;;2;4;4;BAJO;;;;;;;; USD -   ;;;
2;LIMPTANQ1;SERVICIO ;Vac�o;VLADIMIR SARAVIA;LIMPIEZA DE TANQUES;0;;0;;;;;;;;;0;;;;;;;;$ 1.051,00; USD 26,28 ;2; USD 2.102,00 ;
3;RTH210PU2LH2;BLUE-WHITE;DIGITAL;WATER PURIFICATION SUPPLIES;FLUJIMETRO DIGITAL RTH210;2;2;1-D-08-04;;;;;;;2;4;2;;#N/A;0%;#N/A;;35%;#N/A;; USD 435,00 ;; USD 970,00 ;
4;;;MO;FILSA (MO);DES. AGUA TRAT Y EQ. DIOX CLO;0;;0;;;;;;;;;0;;;;;;;;; USD 138,00 ;;;
5;;CARCASA;INOXIDABLE;BROTHER FILTRATION;"PORTA FILTRO INOX 4 ELEMENTOS 20""X2,5""";2;2;0;;;;;;;;;0;; USD 292,00 ;0%; USD 292,00 ;;35%;394,2;$ 15.800,00; USD 395,00 ;1,9; USD 554,80 ;8421,29
6;;SERVICIO ;Vac�o;FILSA (MO);DES. AGUA TRAT. Y EQ PERAC;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
7;;CARCASA;INOXIDABLE;BROTHER FILTRATION;"PORTA FILTRO INOX 7 ELEMENTOS 20""X2,5""";11;7;0;4;;;;;;5;10;0;; USD 595,00 ;0%; USD 595,00 ;;35%;803,25;$ 30.400,00; USD 760,00 ;1,9; USD 1.130,50 ;8421,29
8;;CARCASA;INOXIDABLE;BROTHER FILTRATION;"PORTA FILTRO INOX 7 ELEMENTOS 40""X2,5""";4;;0;4;;;;;;;;0;; USD 810,50 ;0%; USD 810,50 ;;35%;1.094,18;$ 41.600,00; USD 1.040,00 ;1,9; USD 1.539,95 ;8421,29
9;;FILTRO;CARBON;BROTHER FILTRATION;FILTRO CARBON BLOQUE 10X2,5 DOMESTICO;138;138;1-A-62;;;;;;;;;0;; USD 1,25 ;0%; USD 1,25 ;;45%;1,81;$ 72,00; USD 1,80 ;8; USD 10,00 ;
10;PP-10-1MIC;FILTRO;PARTICULAS;HIDROTEK;"FILTRO PARTICULAS 10""X2,5"" 1 MICRA DOMESTICO";1444;444;1-A-3-2;1000;;;;;;;;0;; USD 0,31 ;0%; USD 0,31 ;;45%;0,45;$ 60,00; USD 1,50 ;13; USD 4,03 ;
11;;;Vac�o;FILSA (MO);INSTALACION DE TANQUE;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
12;RO-75G-T03;DOMESTICO;OSMOSIS DOMESTICO;HIDROTEK;OSMOSIS DOM�STICO 75GPD;7;6;0;1;;;;;;;;0;; USD 130,00 ;0%; USD 130,00 ;;35%;175,5;$ 7.200,00; USD 180,00 ;3; USD 390,00 ;
13;124-20-1 / BIG-BLUE / BB-10;CARCASA;PF 4.5X20;HIDROTEK / WATER PURIFICATION SUPPLIES;"CARCAZA P/FILTRO 20""x4,5X1"" A";19;19;1-F-9-2;;;;;;;8;24;5;;22;0%;22;22;35%;29,7;$ 1.154,56; USD 28,86 ;4; USD 88,00 ;
14;829884;TABLERO;TABLERO;DREGHAL;PLC M241;0;;0;;;;;;;;;0;;485,8;0%;485,8;;;;; USD 485,80 ;1,3; USD 631,54 ;
15;829010;TABLERO;TABLERO;DREGHAL;PLACA 8 ENTRADAS ANALOGICAS PLC M241;0;;0;;;;;;;;;0;;438,57;0%;438,57;;;;; USD 438,57 ;1,3; USD 570,14 ;
16;829517;TABLERO;TABLERO;DREGHAL;"PANTALLA LCD 7"" PLC M241";0;;0;;;;;;;;;0;;320;0%;320;;;;; USD 320,00 ;1,3; USD 416,00 ;
17;560715;TABLERO;TABLERO;DREGHAL;GUARDAMOTOR 20A ;0;;0;;;;;;;;;;;50,01;0%;50,01;;;;; USD 50,00 ;1,3; USD 65,01 ;
18;827633;TABLERO;TABLERO;DREGHAL;MINI RELE 1 CONTACTO 6A;0;;0;;;;;;;;;;;5,48;0%;5,48;;;;; USD 5,48 ;1,3; USD 7,12 ;
19;827632;TABLERO;TABLERO;DREGHAL;ZOCALO MINI RELE UN CONTACTO;0;;0;;;;;;;;;0;;7,49;0;7,49;;;;; USD 7,49 ;1,3; USD 9,74 ;
20;827706;TABLERO - Osmo Grande;TABLERO;DREGHAL;BANDEJA PERFORADA 600X400 NSYMF64;1;1;0;;;;;;;;;;;19,53;0;19,53;;;;; USD 19,53 ;1,3; USD 25,39 ;
21;;;Vac�o;;DEUDORES INCOBRABLES;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
22;12012204048;TEFEN;ACC CA�ERIA;SEELYE INC;ENTRE ROSCA 1/4;0;;0;;;;;;;;;0;; USD 0,63 ;0%; USD 0,63 ;;35%;0,85;; USD 0,94 ;2,7; USD 1,70 ;
23;;DOMESTICO;EQUIPO UF;BROTHER FILTRATION;UF FILTRO EN LINEA 600 L/H (pipe line);5;5;0;;;;;;;;;0;; USD 40,00 ;0%; USD 40,00 ;;35%;54;$ 2.480,00; USD 62,00 ;5; USD 200,00 ;8421,21
24;FHXX10P2;BLUE-WHITE;DIGITAL;WATER PURIFICATION SUPPLIES;SENSOR DE FLUJO DIG. B-W MOLDE;2;2;0;;;;;;;3;6;4;BAJO;#N/A;0%;#N/A;;35%;#N/A;; USD 312,36 ;; USD 562,00 ;
25;MB-2521;MEMBRANAS;M 2.5X21;WATER PURIFICATION SUPPLIES;"MEMBRANA H ESPA1-2521-2,5""X21""";2;2;1-D-73;;;;;;;3;8;6;BAJO; USD 98,00 ;0%; USD 98,00 ;84;35%;132,3;$ 6.000,00; USD 150,00 ;3; USD 252,00 ;
28;;DOMESTICO;RECAMBIOS;BROTHER FILTRATION;REPUESTO UF EN LINEA 600 L/H (pipe line);2;2;0;;;;;;;;;0;; USD 11,00 ;0%; USD 11,00 ;;35%;14,85;$ 720,00; USD 18,00 ;4; USD 44,00 ;8421,99
29;;DOMESTICO;EQUIPO UF;BROTHER FILTRATION;UF FILTRO EN LINEA 1000 L/H (pipe line);2;2;1-F-4-2;;;;;;;;;0;; USD 48,00 ;0%; USD 48,00 ;;35%;64,8;$ 2.720,00; USD 68,00 ;5; USD 240,00 ;8421,21
30;;DOMESTICO;RECAMBIOS;BROTHER FILTRATION;REPUESTO UF EN LINEA 1000 L/H (pipe line);2;2;0;;;;;;;;;0;; USD 15,00 ;0%; USD 15,00 ;;35%;20,25;$ 960,00; USD 24,00 ;6; USD 90,00 ;8421,99
31;12012206068;TEFEN;ACC CA�ERIA;SEELYE INC;ENTRE ROSCA 3/8;0;;0;;;;;;;;;0;; USD 0,68 ;0%; USD 0,68 ;;35%;0,92;; USD 1,01 ;2,7; USD 1,84 ;
32;;;CONECTORES RAPIDOS;GRANDE SA;"RESORTE P/CONECTOR RAP ""FILSA""";0;;0;;;;;;;100;500;500;BAJO;$ 35,00;0%;$ 35,00;;;;$ 35,00; USD 0,88 ;;;
