Producto,CodigoOrigen,Codigo,Categoria,Proveedor,Deposito,Ubicacion,Cantidad,StockSeguridad
12X48 NAT W/BASE,C81248N61E01,2469,Insumos,AWC,Anaya 2710,,10,0
14X14 BLUE BTASY NG474,J7450,2605,Insumos,AWC,Anaya 2710,,10,0
14X24 BLUE 15G SOLUTION TANK,G21424BN7C00,2463,Insumos,AWC,Anaya 2710,,10,0
18X32 BLUE 35G SOLUTION TANK,G21832BN7C00,2465,Insumos,AWC,Anaya 2710,,10,0
18X36 BLACK BTASY NG 474,U7552,2458,Insumos,AWC,Anaya 2710,,10,0
2 x CONTROL PID,5003000,2354,Insumos,AWC,Anaya 2710,,10,0
2 x RELES ELECTROMECANICOS,4300000,2092,Insumos,AWC,Anaya 2710,,10,0
830AF DIST 11SEG,D1224-04,1408,Insumos,AWC,Anaya 2710,,10,0
911 BTM DIST 13/16,D1211,1406,Insumos,AWC,Anaya 2710,,10,0
A-014N-6A,ACC,2425,Insumos,AWC,Anaya 2710,,10,0
ABANDADOR 1248WS1TC35L,,1677,Insumos,AWC,Anaya 2710,,10,0
ABLANDADOR 12125T00,,2034,Insumos,AWC,Anaya 2710,,10,0
ABLANDADOR 12125T18,,2045,Insumos,AWC,Anaya 2710,,10,0
ABLANDADOR 1248WS150L,,1684,Insumos,AWC,Anaya 2710,,10,0
ABLANDADOR 13125T00,,2067,Insumos,AWC,Anaya 2710,,10,0
ABLANDADOR 13125T18,,2068,Insumos,AWC,Anaya 2710,,10,0
ABLANDADOR 14125T00,,2082,Insumos,AWC,Anaya 2710,,10,0
ABLANDADOR 14125T18,,2083,Insumos,AWC,Anaya 2710,,10,0
ABLANDADOR 211T00,,2245,Insumos,AWC,Anaya 2710,,10,0
ABLANDADOR 211T24,,2281,Insumos,AWC,Anaya 2710,,10,0
ABLANDADOR 2472WS1.25300LT,,1679,Insumos,AWC,Anaya 2710,,10,0
ABLANDADOR 2A50T0,,1853,Insumos,AWC,Anaya 2710,,10,0
ABLANDADOR 61T00,,2657,Insumos,AWC,Anaya 2710,,10,0
ABLANDADOR 6A150T3,,1828,Insumos,AWC,Anaya 2710,,10,0
ABLANDADOR COMPLETO 25L RESINA - DOMESTICO,,70,Insumos,AWC,Anaya 2710,,10,0
"ABLANDADOR DIFUSOR ESTRELLA INFERIOR TANQUE 30""",,1901,Insumos,AWC,Anaya 2710,,10,0
ABLANDADOR DOMESTICO DENVER30L,762917,2450,Insumos,AWC,Anaya 2710,,10,0
ABLANDADOR GAB 08100TGA,,2664,Insumos,AWC,Anaya 2710,,10,0
ABLANDADOR GAB 09100TGA,,2665,Insumos,AWC,Anaya 2710,,10,0
ABLANDADOR GABINETE 8X35,,2653,Insumos,AWC,Anaya 2710,,10,0
ABLANDADOR HI,,1907,Insumos,AWC,Anaya 2710,,10,0
ABRAZADERA INOX 15CM,,2802,Insumos,AWC,Anaya 2710,,10,0
ABRAZADERA INOX 25-38,,2165,Insumos,AWC,Anaya 2710,,10,0
ABRAZADERA INOX CHICA 8 a 20mm,00387002,1357,Insumos,AWC,Anaya 2710,,10,0
ABRAZADERA INOX GRANDE 20 a 34,00379395,1358,Insumos,AWC,Anaya 2710,,10,0
ABRAZADERA INOX. 14 - 22,,2167,Insumos,AWC,Anaya 2710,,10,0
ABRAZADERA INOX. 22-32,,2166,Insumos,AWC,Anaya 2710,,10,0
ABRAZADERA P/MUESTREO 40 MM X 1/2,ABA476590,1047,Insumos,AWC,Anaya 2710,,10,0
ABRAZADERA TIPO PROCON 2,PP 1113,1856,Insumos,AWC,Anaya 2710,,10,0
ACCESO REMOTO VIA LAN,34000052,2678,Insumos,AWC,Anaya 2710,,10,0
ACCESORIOS/INSUMOS,,250,Insumos,AWC,Anaya 2710,,10,0
ACIDO ACETICO X 30 GRAS,,25603,Insumos,AWC,Anaya 2710,,10,0
ACIDO CLORHIDRICO,,441,Insumos,AWC,Anaya 2710,,10,0
ACIDO PERACETICO,ACPERAC,1293,Insumos,AWC,Anaya 2710,,10,0
"ACOPLE INOX 25x 3/4""",137742-001,2342,Insumos,AWC,Anaya 2710,,10,0
ACTUALIZACION OSMOSIS PORTATIL,,2139,Insumos,AWC,Anaya 2710,,10,0
"ADAPTADOR 4"" a 2 1/2"" p/tanque",Q1029,288,Insumos,AWC,Anaya 2710,,10,0
"ADAPTADOR 6"" A 4"" P/TANQUE",C610225,1544,Insumos,AWC,Anaya 2710,,10,0
ADAPTADOR DE VALVULA A CAÑERIA,V3007-07,1420,Insumos,AWC,Anaya 2710,,10,0
ADAPTADOR EN LINEA 1 1/4,102585,2892,Insumos,AWC,Anaya 2710,,10,0
ADAPTADOR MACHO 1/2X1/2 JG bspt,PI051604S,1590,Insumos,AWC,Anaya 2710,,10,0
ADAPTADOR P/TANQUE 32 MM,39510044,1035,Insumos,AWC,Anaya 2710,,10,0
"ADAPTADOR POLIET.ROSCA M25X3/4""",911-25-B,3008,Insumos,AWC,Anaya 2710,,10,0
ADAPTADOR UNION P/CONT. RECARG,199401,2443,Insumos,AWC,Anaya 2710,,10,0
ADJUSTING SCREW,11222,2334,Insumos,AWC,Anaya 2710,,10,0
AF115-1A HENEYWELL,AF115-1A,2509,Insumos,AWC,Anaya 2710,,10,0
AIRCHECK P/VALV. 474,H4500-48,1993,Insumos,AWC,Anaya 2710,,10,0
AJUSTE FACTURACION,,2475,Insumos,AWC,Anaya 2710,,10,0
ALARMA SIST AGUA,,2108,Insumos,AWC,Anaya 2710,,10,0
ALCOHOL EUCALIPTADO X 1/2 L,,2950,Insumos,AWC,Anaya 2710,,10,0
ALL ROUGH TERRAIN TRUCK,RP1250A,2313,Insumos,AWC,Anaya 2710,,10,0
ALMACENAMIENTO DE MERCADERIA,,2309,Insumos,AWC,Anaya 2710,,10,0
ALQUILER EQ. ÓSMOSIS,,361,Insumos,AWC,Anaya 2710,,10,0
ALQUILER INMUEBLE,,2941,Insumos,AWC,Anaya 2710,,10,0
AMORTIGUADOR PULSACION IXD150,PD36-75TC,2633,Insumos,AWC,Anaya 2710,,10,0
ANALISIS,,1580,Insumos,AWC,Anaya 2710,,10,0
ANALISIS PERIODICOS,,2388,Insumos,AWC,Anaya 2710,,10,0
"ANILLO REDUCTOR 25""x20""",39510072,2275,Insumos,AWC,Anaya 2710,,10,0
"ANILLO REDUCTOR 25""x32""",39510073,2276,Insumos,AWC,Anaya 2710,,10,0
"ANILLO REDUCTOR 32""x40""",39510074,2277,Insumos,AWC,Anaya 2710,,10,0
ANTI INCRUSTANTE AWC 102 20KP,,2106,Insumos,AWC,Juanico,,20,5
ANTI INCRUSTANTE AWC102 10 LTS,,2107,Insumos,AWC,Anaya 2710,,15,10
ANTI INCRUSTANTE AWC102 5LP,,2105,Insumos,AWC,Anaya 2710,,15,10
ANTI INCRUSTANTE AWC102P,AWCA,2100,Insumos,De Salt,Juanico,,15,10
ANTI INCRUSTANTE INDION,,113,Insumos,AWC,Anaya 2710,,15,10
ANTI INCRUSTANTE RO  KURITA VITEC 1141,,3013,Insumos,AWC,Anaya 2710,,15,10
ANTI INCRUSTANTE TOTE 2500 LIBRAS,,2103,Insumos,AWC,Anaya 2710,,15,10
ANTIINCRUSTANTE AP-RO 3000A,120748,1587,Insumos,AWC,Anaya 2710,,15,10
ANTRACITA,A8029,1755,Insumos,AWC,Anaya 2710,,15,10
ARANDELA ALTA PRESION PARA INYECTORA EH - PE/PC,V1BME.03,1167,Insumos,AWC,Anaya 2710,,15,10
ARANDELA ALTA PRESION PARA INYECTORA EH VC/VE,,1168,Insumos,AWC,Anaya 2710,,15,10
ARENA 1.0 - 2.0 MM (X KG),FS100200160,2875,Insumos,AWC,Anaya 2710,,15,10
ARENA PARA FILTR,ARNFIL475,1197,Insumos,AWC,Anaya 2710,,15,10
ARGON GASEOSO,,25601,Insumos,AWC,Anaya 2710,,15,10
ARRANQUE 10HP/220V - 20HP/400V,WE8334,2452,Insumos,AWC,Anaya 2710,,15,10
ASES TECNICO EQ. TRAT. AGUA,ASESTE422,212,Insumos,AWC,Anaya 2710,,15,10
AUTO TOYOTA COROLLA SCG2228,,3010,Insumos,AWC,Anaya 2710,,15,10
AUTO VW BORA MAT. LCA8198,,2180,Insumos,AWC,Anaya 2710,,15,10
AUTOMATICO ESCALERA,SEL1410,2557,Insumos,AWC,Anaya 2710,,15,10
BALANCE ROLLER 1,10322,2335,Insumos,AWC,Anaya 2710,,15,10
BALANCE ROLLER 2,10329,2336,Insumos,AWC,Anaya 2710,,15,10
BANDEJA METAL NO LISA P/TABLERO 400X300,,1879,Insumos,AWC,Anaya 2710,,15,10
BANDEJA METAL NO LISA P/TABLERO 600X400,CHLF2-60,1878,Insumos,AWC,Anaya 2710,,15,10
BANDEJA PERFORADA 600X400,,20,Insumos,AWC,Anaya 2710,,15,10
BANDEJA PERFORADA 800X600,PH60,1881,Insumos,AWC,Anaya 2710,,15,10
